"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","imported_at","match_type","match_value","prescore","score","genus"
"Acanthophysium oakesii","Acanthophysium oakesii",4,"National Center for Biotechnology Information","6f88b4c4-c962-57b7-b6dc-c11ccb903f49","Acanthophysium","|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes||Russulales|Stereaceae|Acanthophysium","|superkingdom|clade|kingdom|subkingdom|phylum|subphylum|class||order|family|genus","131567|2759|33154|4751|451864|5204|5302|155619|355688|452342|103376|55329","55329",0,"2024-01-09T22:06:53Z","6","Could only match genus","1|0|0",0.75,"Acanthophysium"
"Acanthoscelidius acephalus","Acanthoscelidius acephalus",4,"National Center for Biotechnology Information","6b8bc75e-9509-5101-bd73-d62ba30d9b66","Acanthoscelidius","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionidae|Ceutorhynchinae|Acanthoscelidius","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41084|41088|71529|7042|123516|3031272","3031272",0,"2024-01-09T23:59:34Z","6","Could only match genus","1|0|0",0.75,"Acanthoscelidius"
"Acentrella ampla","Acentrella ampla",4,"National Center for Biotechnology Information","d0681356-5cf8-5574-8920-75df2609f19b","Acentrella","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Palaeoptera|Ephemeroptera|Pisciforma|Baetidae|Acentrella","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|order|suborder|family|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33339|30073|185809|172515|248176","248176",0,"2024-01-09T22:15:07Z","6","Could only match genus","1|0|0",0.75,"Acentrella"
"Aceria artemisiae","Aceria artemisiae",4,"National Center for Biotechnology Information","726227af-6280-551e-b381-74ac8182da71","Aceria","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Chelicerata|Arachnida|Acari|Acariformes|Trombidiformes|Prostigmata|Eupodina|Eriophyoidea|Eriophyidae|Eriophyinae|Aceriini|Aceria","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|subphylum|class|subclass|superorder|order|suborder|clade|superfamily|family|subfamily|tribe|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|6843|6854|6933|6946|83136|6947|83139|70332|70320|426503|426509|109362","109362",0,"2024-01-09T22:09:10Z","6","Could only match genus","1|0|0",0.75,"Aceria"
"Achaetella varipes","Achaetella varipes",4,"National Center for Biotechnology Information","48618bc5-3254-5713-9b72-04ef4fadd5e6","Achaetella","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Calyptratae|Muscoidea|Scathophagidae|Scathophaginae|Cordilura|Achaetella","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|clade|clade|||superfamily|family|subfamily|genus|subgenus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7203|43733|480118|480117|43738|43742|43754|43756|95472|113132|113134","113134",0,"2024-01-09T22:09:21Z","6","Could only match genus","1|0|0",0.75,"Achaetella"
"Achatia confusa","Achatia confusa",4,"National Center for Biotechnology Information","fe124371-0e49-56bf-a57d-233285339f10","Achatia","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Noctuoidea|Noctuidae|Noctuinae|Orthosiini|Achatia","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|tribe|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37570|7100|95179|2555568|1093871","1093871",0,"2024-01-09T22:44:24Z","6","Could only match genus","1|0|0",0.75,"Achatia"
"Achelia scabra","Achelia scabra",4,"National Center for Biotechnology Information","376e69be-9630-5370-8b20-e1e99a2dcd8f","Achelia","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Chelicerata|Pycnogonida|Pantopoda|Ammotheidae|Achelia","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|subphylum|class|order|family|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|6843|57294|373319|61893|61894","61894",0,"2024-01-09T22:07:08Z","6","Could only match genus","1|0|0",0.75,"Achelia"
"Achnanthes acares","Achnanthes acares",4,"National Center for Biotechnology Information","69347d89-78d6-57d5-809e-bf602d6ba522","Achnanthes","|Eukaryota|Sar|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophyceae|Bacillariophycidae|Mastogloiales|Achnanthaceae|Achnanthes","|superkingdom|clade|clade|clade|phylum|class|clade|order|family|genus","131567|2759|2698737|33634|2696291|2836|33849|33850|1003319|216726|216727","216727",0,"2024-01-09T22:13:48Z","6","Could only match genus","1|0|0",0.75,"Achnanthes"
"Achnanthidium affine","Achnanthidium affine",4,"National Center for Biotechnology Information","6f5c82e3-edf5-5226-8a4d-bbce41a80c98","Achnanthidium","|Eukaryota|Sar|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophyceae|Bacillariophycidae|Cocconeidales|Achnanthidiaceae|Achnanthidium","|superkingdom|clade|clade|clade|phylum|class|clade|order|family|genus","131567|2759|2698737|33634|2696291|2836|33849|33850|1880621|1003068|265567","265567",0,"2024-01-09T22:15:55Z","6","Could only match genus","1|0|0",0.75,"Achnanthidium"
"Acleris comandrana","Acleris comandrana",4,"National Center for Biotechnology Information","3d7247b3-5889-56cb-b65f-9fb9c76e6c0f","Acleris","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Apoditrysia|Tortricoidea|Tortricidae|Tortricinae|Tortricini|Acleris","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|tribe|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104430|37568|7139|65022|173709|572799","572799",0,"2024-01-09T22:28:13Z","6","Could only match genus","1|0|0",0.75,"Acleris"
"Acnemia flaviola","Acnemia flaviola",4,"National Center for Biotechnology Information","7fc5ea11-f8e6-51bc-962f-a19486af3449","Acnemia","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Nematocera|Bibionomorpha|Sciaroidea|Mycetophilidae|Sciophilinae|Acnemia","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7148|43784|41830|29035|43800|1888027","1888027",0,"2024-01-09T23:15:37Z","6","Could only match genus","1|0|0",0.75,"Acnemia"
"Aconitum bicolor","Aconitum bicolor",4,"National Center for Biotechnology Information","2eb16416-bae6-556d-886d-c10cd2276dea","Aconitum","|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae|Ranunculales|Ranunculaceae|Ranunculoideae|Delphinieae|Aconitum","|superkingdom|kingdom|phylum|subphylum|clade|clade|clade|clade|class|clade|order|family|subfamily|tribe|genus","131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|41768|3440|1463138|1463140|49188","49188",0,"2024-01-09T22:06:37Z","6","Could only match genus","1|0|0",0.75,"Aconitum"
"Acontia areloides","Acontia areloides",4,"National Center for Biotechnology Information","dccde4d3-19fa-521a-bd46-a0bd4b6d5d49","Acontia","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Noctuoidea|Noctuidae|Acontiinae|Acontia","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37570|7100|95214|319971","319971",0,"2024-01-09T22:18:00Z","6","Could only match genus","1|0|0",0.75,"Acontia"
"Acremoniella atra","Acremoniella atra",4,"National Center for Biotechnology Information","e93df6a4-1b6c-585e-9905-ae75eac6d03d","Acremoniella","|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota||Pezizomycotina|||Sordariomycetes|Hypocreomycetidae|Microascales||Acremoniella","|superkingdom|clade|kingdom|subkingdom|phylum|clade|subphylum|clade|clade|class|subclass|order||genus","131567|2759|33154|4751|451864|4890|716545|147538|716546|715989|147550|222543|5592|142616|1036675","1036675",0,"2024-01-09T22:42:17Z","6","Could only match genus","1|0|0",0.75,"Acremoniella"
"Acricotopus nitidellus","Acricotopus nitidellus",4,"National Center for Biotechnology Information","ac576da3-475e-5fec-a312-4abe15203293","Acricotopus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Nematocera|Culicomorpha|Chironomoidea|Chironomidae|Orthocladiinae|Acricotopus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7148|43786|41828|7149|43808|59807","59807",0,"2024-01-09T22:07:05Z","6","Could only match genus","1|0|0",0.75,"Acricotopus"
"Acrocera obsoleta","Acrocera obsoleta",4,"National Center for Biotechnology Information","d25fcfb6-2cae-5718-a412-dd1919f3d8cb","Acrocera","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Nemestrinoidea|Acroceridae|Acrocera","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7203|43733|50670|92616|210245","210245",0,"2024-01-09T22:13:33Z","6","Could only match genus","1|0|0",0.75,"Acrocera"
"Acrochaete flustrae","Acrochaete flustrae",4,"National Center for Biotechnology Information","2168ec0f-e56c-5ae8-ae20-7bbd85f36021","Acrochaete","|Eukaryota|Viridiplantae|Chlorophyta|Ulvophyceae||Ulvales|Ulvellaceae|Acrochaete","|superkingdom|kingdom|phylum|class|clade|order|family|genus","131567|2759|33090|3041|33103|2546215|3113|35455|188557","188557",0,"2024-01-09T22:12:38Z","6","Could only match genus","1|0|0",0.75,"Acrochaete"
"Acroneuria pennsylvanica","Acroneuria pennsylvanica",4,"National Center for Biotechnology Information","96d18934-7866-5547-a740-709dc810bf98","Acroneuria","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Polyneoptera|Plecoptera|Perloidea|Perlidae|Acroneuriinae|Acroneuria","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33341|50622|70404|51551|466868|219316","219316",0,"2024-01-09T22:13:58Z","6","Could only match genus","1|0|0",0.75,"Acroneuria"
"Acronicta furcifera","Acronicta furcifera",4,"National Center for Biotechnology Information","2f078c5f-db28-510a-a7b1-7d698da24028","Acronicta","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Noctuoidea|Noctuidae|Acronictinae|Acronicta","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37570|7100|95175|56362","56362",0,"2024-01-09T22:06:54Z","6","Could only match genus","1|0|0",0.75,"Acronicta"
"Acroricnus aequatus","Acroricnus aequatus",4,"National Center for Biotechnology Information","58b64b7c-f08c-52ae-ab19-48b862505446","Acroricnus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Hymenoptera|Apocrita|Ichneumonoidea|Ichneumonidae|Cryptinae|Cryptini|Osprynchotina|Acroricnus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|superfamily|family|subfamily|tribe|subtribe|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7399|7400|7401|7408|65171|172377|172380|172369","172369",0,"2024-01-09T22:11:50Z","6","Could only match genus","1|0|0",0.75,"Acroricnus"
"Actaea ludovici","Actaea ludovici",4,"National Center for Biotechnology Information","e7717dbd-4f69-5553-91de-fe4fca6a30e8","Actaea","|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae|Ranunculales|Ranunculaceae|Ranunculoideae|Cimicifugeae|Actaea","|superkingdom|kingdom|phylum|subphylum|clade|clade|clade|clade|class|clade|order|family|subfamily|tribe|genus","131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|41768|3440|1463138|1463143|46988","46988",0,"2024-01-09T22:06:28Z","6","Could only match genus","1|0|0",0.75,"Actaea"
"Actenicerus cuprascens","Actenicerus cuprascens",4,"National Center for Biotechnology Information","2cfba935-c059-5a92-be83-78a3ca6014e2","Actenicerus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Polyphaga|Elateriformia|Elateroidea|Elateridae|Prosterninae|Actenicerus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41084|41087|71193|30009|947300|341270","341270",0,"2024-01-09T22:18:59Z","6","Could only match genus","1|0|0",0.75,"Actenicerus"
"Actia americana","Actia americana",4,"National Center for Biotechnology Information","7a257c18-fee9-52eb-a5b9-7732e31af7b0","Actia","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Calyptratae|Oestroidea|Tachinidae|Tachininae|Siphonini|Actia","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|clade|clade|||superfamily|family|subfamily|tribe|genus","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7147|7203|43733|480118|480117|43738|43742|43755|27474|54288|113240|880992","880992",0,"2024-01-09T22:37:02Z","6","Could only match genus","1|0|0",0.75,"Actia"
