"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","imported_at","match_type","match_value","prescore","score","superkingdom","kingdom","phylum","class","order","family","genus","species"
"Aeshna umbrosa","Aeshna umbrosa",4,"National Center for Biotechnology Information","2644842c-6f1b-5512-a0e7-71fcf58adca2","Aeshna umbrosa","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Palaeoptera|Odonata|Epiprocta|Anisoptera|Aeshnoidea|Aeshnidae|Aeshna|Aeshna umbrosa","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|order|suborder|infraorder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33339|6961|2510002|6962|70898|50509|12920|1081897","1081897",0,"2024-01-09T22:43:59Z","1","Exact string match","3|0|0",0.988,"Eukaryota","Metazoa","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","Aeshna umbrosa"
"Agarus ambiguus","Agarus ambiguus",4,"National Center for Biotechnology Information","2bbf55b3-4174-59b1-b678-9b45c57add75","Agabus ambiguus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Adephaga|Dytiscoidea|Dytiscidae|Agabinae|Agabini|Agabus|Agabus ambiguus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|superfamily|family|subfamily|tribe|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41071|535378|50515|422058|183341|107769|207430","207430",1,"2024-01-09T22:13:22Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","Agabus ambiguus"
"Agarus anthracinus","Agarus anthracinus",4,"National Center for Biotechnology Information","dc3a4140-97d7-56b7-ae32-2a5f429d5295","Agabus anthracinus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Adephaga|Dytiscoidea|Dytiscidae|Agabinae|Agabini|Agabus|Agabus anthracinus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|superfamily|family|subfamily|tribe|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41071|535378|50515|422058|183341|107769|207434","207434",1,"2024-01-09T22:13:22Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","Agabus anthracinus"
"Agbagrotis alternata","Agbagrotis alternata",4,"National Center for Biotechnology Information","4c1be06e-e7cb-552f-bd18-b0e71e288917","Abagrotis alternata","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Noctuoidea|Noctuidae|Noctuinae|Noctuini|Abagrotis|Abagrotis alternata","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|tribe|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37570|7100|95179|2555566|95180|95181","95181",1,"2024-01-09T22:08:38Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Abagrotis","Abagrotis alternata"
"Agbagrotis placida","Agbagrotis placida",4,"National Center for Biotechnology Information","93e71ff7-ebde-5d14-8f0b-cb0397c71fb8","Abagrotis placida","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Noctuoidea|Noctuidae|Noctuinae|Noctuini|Abagrotis|Abagrotis placida","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|tribe|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37570|7100|95179|2555566|95180|988975","988975",1,"2024-01-09T22:40:38Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Abagrotis","Abagrotis placida"
"Agonopterix pulvipennela","Agonopterix pulvipennela",4,"National Center for Biotechnology Information","e4c13722-0d41-5c0a-b984-7d92052de1d0","Agonopterix pulvipennella","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Gelechioidea|Depressariidae|Depressariinae|Agonopterix|Agonopterix pulvipennella","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|37581|2681869|116119|262437|262441","262441",1,"2024-01-09T22:15:45Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Depressariidae","Agonopterix","Agonopterix pulvipennella"
"Agonum excavatum","Agonum excavatum",4,"National Center for Biotechnology Information","174f18c4-c348-54a9-8ead-947f1b6b2c75","Agonum exaratum","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Adephaga|Caraboidea|Carabidae|Platyninae|Platynini|Agonum|Agonum exaratum","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|superfamily|family|subfamily|tribe|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41071|535382|41073|706613|60757|41080|2722001","2722001",2,"2024-01-09T23:48:27Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum","Agonum exaratum"
"Agriphila ruricolellus","Agriphila ruricolellus",4,"National Center for Biotechnology Information","2c69ad0a-b869-5e36-81ba-6faf40079f96","Agriphila ruricolella","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Pyraloidea|Crambidae|Crambinae|Agriphila|Agriphila ruricolella","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37573|268499|40081|572808|989724","989724",2,"2024-01-09T22:40:39Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Crambidae","Agriphila","Agriphila ruricolella"
"Agriphila vulgivagellus","Agriphila vulgivagellus",4,"National Center for Biotechnology Information","d486d1d7-1cf3-5369-a466-a119a47871b8","Agriphila vulgivagella","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Pyraloidea|Crambidae|Crambinae|Agriphila|Agriphila vulgivagella","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104431|37573|268499|40081|572808|1888474","1888474",2,"2024-01-09T23:15:37Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Crambidae","Agriphila","Agriphila vulgivagella"
"Alces Alces","Alces alces",4,"National Center for Biotechnology Information","5e98eb69-07e8-508c-a75f-f7d691e5f8c1","Alces alces","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Laurasiatheria|Artiodactyla|Ruminantia|Pecora|Cervidae|Odocoileinae|Alces|Alces alces","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|clade|clade|clade|class|clade|clade|clade|superorder|order|suborder|infraorder|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|8287|1338369|32523|32524|40674|32525|9347|1437010|314145|91561|9845|35500|9850|9881|9851|9852","9852",0,"2024-01-09T22:05:30Z","1","Exact string match","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","Alces","Alces alces"
"Alobates pensylvanicus","Alobates pensylvanicus",4,"National Center for Biotechnology Information","4bb166ee-2bb6-5b82-8cb4-c0253b5d534a","Alobates pennsylvanica","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Tenebrioninae|Alobates|Alobates pennsylvanica","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41084|41088|71527|7065|1272141|1272743|1845002","1845002",3,"2024-01-09T23:13:49Z","3","Fuzzy match by canonical form","1|0|0",0.75,"Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Alobates","Alobates pennsylvanica"
"ALOSA AESTIVALIS","Alosa aestivalis",4,"National Center for Biotechnology Information","aa177c5b-9574-575a-a977-80761c39dd35","Alosa aestivalis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Clupei|Clupeiformes|Clupeoidei|Clupeidae|Alosinae|Alosa|Alosa aestivalis","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|subcohort|order|suborder|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|186634|282425|32446|1489460|55118|55119|34772|224703","224703",0,"2024-01-09T22:14:11Z","1","Exact string match","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa aestivalis"
"alosa mediocris","Alosa mediocris",4,"National Center for Biotechnology Information","cf126877-b613-5c60-a8f3-b154871060ef","Alosa mediocris","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Clupei|Clupeiformes|Clupeoidei|Clupeidae|Alosinae|Alosa|Alosa mediocris","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|subcohort|order|suborder|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|186634|282425|32446|1489460|55118|55119|34772|469659","469659",0,"2024-01-09T22:24:15Z","1","Exact string match","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa mediocris"
"alosa pseudoharengus","Alosa pseudoharengus",4,"National Center for Biotechnology Information","f137d25a-a7ae-55f0-90bf-c58ee1e90e8f","Alosa pseudoharengus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Clupei|Clupeiformes|Clupeoidei|Clupeidae|Alosinae|Alosa|Alosa pseudoharengus","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|subcohort|order|suborder|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|186634|282425|32446|1489460|55118|55119|34772|34774","34774",0,"2024-01-09T22:05:58Z","1","Exact string match","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus"
"alosa sapidissima","Alosa sapidissima",4,"National Center for Biotechnology Information","9064feef-ead4-5025-aba9-206bf8f6cee5","Alosa sapidissima","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Clupei|Clupeiformes|Clupeoidei|Clupeidae|Alosinae|Alosa|Alosa sapidissima","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|subcohort|order|suborder|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|186634|282425|32446|1489460|55118|55119|34772|34773","34773",0,"2024-01-09T22:05:58Z","1","Exact string match","3|0|0",0.988,"Eukaryota","Metazoa","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima"
